titulo	año	elenco	direccion	guion	genero
Logan	2017	Hugh Jackman	James Mangold	James Mangold	Action
Logan	2017	Hugh Jackman	James Mangold	James Mangold	Drama
Logan	2017	Hugh Jackman	James Mangold	James Mangold	Science Fiction
Logan	2017	Hugh Jackman	James Mangold	Scott Frank	Action
Logan	2017	Hugh Jackman	James Mangold	Scott Frank	Drama
Logan	2017	Hugh Jackman	James Mangold	Scott Frank	Science Fiction
Logan	2017	Hugh Jackman	James Mangold	Michael Green	Action
Logan	2017	Hugh Jackman	James Mangold	Michael Green	Drama
Logan	2017	Hugh Jackman	James Mangold	Michael Green	Science Fiction
Logan	2017	Dafne Keen	James Mangold	James Mangold	Action
Logan	2017	Dafne Keen	James Mangold	James Mangold	Drama
Logan	2017	Dafne Keen	James Mangold	James Mangold	Science Fiction
Logan	2017	Dafne Keen	James Mangold	Scott Frank	Action
Logan	2017	Dafne Keen	James Mangold	Scott Frank	Drama
Logan	2017	Dafne Keen	James Mangold	Scott Frank	Science Fiction
Logan	2017	Dafne Keen	James Mangold	Michael Green	Action
Logan	2017	Dafne Keen	James Mangold	Michael Green	Drama
Logan	2017	Dafne Keen	James Mangold	Michael Green	Science Fiction
Logan	2017	Patrick Stewart	James Mangold	James Mangold	Action
Logan	2017	Patrick Stewart	James Mangold	James Mangold	Drama
Logan	2017	Patrick Stewart	James Mangold	James Mangold	Science Fiction
Logan	2017	Patrick Stewart	James Mangold	Scott Frank	Action
Logan	2017	Patrick Stewart	James Mangold	Scott Frank	Drama
Logan	2017	Patrick Stewart	James Mangold	Scott Frank	Science Fiction
Logan	2017	Patrick Stewart	James Mangold	Michael Green	Action
Logan	2017	Patrick Stewart	James Mangold	Michael Green	Drama
Logan	2017	Patrick Stewart	James Mangold	Michael Green	Science Fiction
Logan	2017	Elizabeth Rodriguez	James Mangold	James Mangold	Action
Logan	2017	Elizabeth Rodriguez	James Mangold	James Mangold	Drama
Logan	2017	Elizabeth Rodriguez	James Mangold	James Mangold	Science Fiction
Logan	2017	Elizabeth Rodriguez	James Mangold	Scott Frank	Action
Logan	2017	Elizabeth Rodriguez	James Mangold	Scott Frank	Drama
Logan	2017	Elizabeth Rodriguez	James Mangold	Scott Frank	Science Fiction
Logan	2017	Elizabeth Rodriguez	James Mangold	Michael Green	Action
Logan	2017	Elizabeth Rodriguez	James Mangold	Michael Green	Drama
Logan	2017	Elizabeth Rodriguez	James Mangold	Michael Green	Science Fiction
Logan	2017	Boyd Holbrook	James Mangold	James Mangold	Action
Logan	2017	Boyd Holbrook	James Mangold	James Mangold	Drama
Logan	2017	Boyd Holbrook	James Mangold	James Mangold	Science Fiction
